District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Colombo,Ocean Edge Suites & Hotel,Seafood Cove (Waters Edge),Fashion Bug,"Vajiraramaya Temple, Bambalapitiya",St. Andrew's Scots Kirk Church,Department of Electronic and Telecommunication Engineering,Lionel Wendt Art Gallery,120 - 250,80 - 160,185,120
Colombo,Colombo Villa at Cambridge Place,The Mango Tree,Cool Planet,"Paramananda Purana Viharaya, Kotahena",Colombo Rowing Club,Department of Civil Engineering,Nawam Mawatha Playground,100 - 200,60 - 120,150,90
Colombo,City Square Residence,The Black Cat Café,No Limit,"Sunethra Devi Pirivena, Pepiliyana",Colombo Planetarium,Department of Mechanical Engineering,Colombo Rowing Club,80 - 160,80 - 160,120,120
Colombo,Panorama Executive Residencies Colombo,Green Cabin,Kandy Selection,"Matiukovita Vihara, Moratuwa",Mount Lavinia Beach,Department of Law,Old Parliament Building,100 - 200,80 - 160,150,120
Colombo,Zylan Luxury Villa,The Fab,Romafour,"Mahamevnawa Buddhist Monastery, Wellawatte",Lionel Wendt Art Centre,Department of Arts,Bally's Casino,70 - 150,80 - 160,110,120
Colombo,Unique Towers Luxury Boutique Suites,The Shore By O!,Odel,"Agrabodhi Viharaya, Maligawatta",Dutch Canal,Department of Medicine,DIY Lab Sri Lanka,80 - 160,80 - 160,120,120
Colombo,Ocean Edge Suites & Hotel,Flower Drum (Waters Edge),Lanka Silk,"Ariyakara Viharaya, Maligawatta","St. Michael's Church, Polwatte",Department of Engineering,Royal Colombo Golf Club,70 - 150,80 - 160,110,120
Colombo,The Residence Colombo,Urban Kitchen (Hilton Colombo),Galle Face Green Street Market,"Bodhi Raja Viharaya, Mattegoda",Sugathadasa Stadium,Department of Agriculture,St. Lucia's Cathedral,100 - 200,80 - 160,150,120
Colombo,Havelock Place Bungalow,Tsukiji Uoichi,DIYA - Designer Wear,Gangaramaya Park,Navam Perahera (Navam Full Moon Festival),Department of Business Administration,Bellanwila Temple Fair,80 - 160,80 - 160,120,120
Colombo,Drift BnB Colombo,Maharaja Palace,Fabindia,"Mount Mary's Church, Havelock Town",Temple Trees,Department of Nursing,"St. Anthony's Church, Kochchikade",100 - 200,80 - 160,150,120
Colombo,2in1 Colombo,41 Sugar,Grasshoppers,"Sri Ananda Maitreya Mahamevnawa Pirivena, Maradana",Diyawanna Oya Lake,Department of Criminology and Criminal Justice,Mount Lavinia Hotel,80 - 160,80 - 160,120,120
Colombo,Cinnamon Bey Colombo,The Bridge (Mövenpick),Cotton Collection,Kalubowila Bodhiya,Colombo Public Library,Department of Psychology,Green Path,50 - 100,80 - 160,75,120
Colombo,Palm Nest,Raja Bojun,The Factory Outlet,"Thevava Thidal, Pettah","St. Paul's Church, Milagiriya",Department of History,Ape Gama,80 - 160,80 - 160,120,120
Colombo,Palmyrah Residencies,Cricket Club Cafe,House of Gifts,"New Kathiresan Temple, Bambalapitiya",Colombo Swimming Club,Department of Environmental Sciences,Pettah Floating Market,80 - 160,80 - 160,120,120
Colombo,Villa 34,Streets Cafe,Pallu,"Vishnu Temple, Kotahena",Dehiwala Zoological Garden,Department of Social Work,Dutch Period Museum,70 - 150,80 - 160,110,120
Colombo,Lake Lodge,Jack Tree,Urban Island,"Kathiresan Temple, Bambalapitiya",Colombo Lotus Tower,Department of Library and Information Science,Navam Perahera Grounds,120 - 250,80 - 160,185,120
Colombo,Clock Inn Colombo,The Yacht Cabin,La Ceylonne,"Naguleswaram Temple, Pettah",Bellanwila Raja Maha Viharaya,Department of Pali and Buddhist Studies,Colombo Racecourse,70 - 150,80 - 160,110,120
Colombo,Palm Beach Hotel,Sweet Chillie,Romafour,"Narasimha Temple, Maradana",Dehiwala Beach,Department of Tamil Studies,Colombo City Tour,80 - 160,80 - 160,120,120
Colombo,Pearl City Hotel,Kaema Sutra (Shangri-La),Cool Planet,"Sri Dharmakeerthi Viharaya, Maradana",Sambodhi Chaithya,Department of Arabic Studies,Asokaramaya Buddhist Temple,70 - 150,80 - 160,110,120
Colombo,Mandarina Colombo,Sizzle,House of Fashions,"Ruwanweli Seya Vihara, Wellawatte",Mount Lavinia Railway Station,Department of Chinese Studies,Nawala Wetland Park,80 - 160,80 - 160,120,120
Colombo,Ivy Lane Colombo,The Barnesbury,Cotton Collection,"Vajiraramaya Temple, Bambalapitiya",Diyatha Uyana - Waters Edge,Department of Hindi Studies,Nelum Pokuna Mahinda Rajapaksa Theatre,80 - 160,80 - 160,120,120
Colombo,Unique Towers Luxury Boutique Suites,Garton's Ark,Rithihi,"Paramananda Purana Viharaya, Kotahena",Dehiwala St. Mary's Church,Department of Russian Studies,Gangaramaya Temple,80 - 160,80 - 160,120,120
Colombo,VJ City Hotel,The Bavarian German Restaurant,Kandy Selection,"Sunethra Devi Pirivena, Pepiliyana",British Council Colombo,Department of Japanese Studies,Ape Gama,80 - 160,80 - 160,120,120
Colombo,Olu Colombo Villa,Cloud Cafe,Lakpahana,"Matiukovita Vihara, Moratuwa",Royal Colombo Golf Club,Department of Korean Studies,Mount Lavinia Beach,100 - 200,80 - 160,150,120
Colombo,Colombo Villa at Cambridge Place,The Lounge (Cinnamon Grand),Gandhara,"Mahamevnawa Buddhist Monastery, Wellawatte",St. Thomas' College Chapel,Department of Linguistics,Jami Ul-Alfar Mosque,70 - 150,80 - 160,110,120
Colombo,Clock Inn Dehiwala,Kumbuk,Ranjanas Ceramic,"Agrabodhi Viharaya, Maligawatta",New Kathiresan Kovil,Department of Archaeology,Diyatha Uyana,70 - 150,80 - 160,110,120
Colombo,City Hotel Colombo,Dinemore,Odel,"Ariyakara Viharaya, Maligawatta",Nawam Maha Perahera (Nawam Full Moon Festival),Department of Anthropology,Independence Square,80 - 160,80 - 160,120,120
Colombo,Mandarina Colombo,Maharaja Palace,The Factory Outlet,"Bodhi Raja Viharaya, Mattegoda",Mount Lavinia Railway Bridge,Department of Folklore,Bellanwila Temple Fair,70 - 150,80 - 160,110,120
Colombo,Best Western Elyon Colombo,Thai Express,Beverly Street,"Mount Mary's Church, Havelock Town",National Zoological Gardens of Sri Lanka,Department of Development Studies,"St. Anthony's Church, Kochchikade",100 - 200,80 - 160,150,120
Colombo,The Deane Residence,The Cafe on the 5th (Hilton Colombo),Cotton Collection,"Thusharagiri Viharaya, Kotahena",Thimbirigasyaya Temple,Department of South Asian Studies,Colombo Rowing Club,70 - 150,80 - 160,110,120
Colombo,Pearl City Hotel,Butlers Chocolate Cafe,Romafour,"Gothami Viharaya, Borella",Beira Lake Buddhist Temple,Department of African Studies,Old Parliament Building,120 - 250,80 - 160,185,120
Colombo,Sansu Hotel Colombo,The Paddington,Cool Planet,"Mahamevnawa Buddhist Monastery, Pepiliyana",Dehiwala St. Anthony's Church,Department of Latin American Studies,Pettah Floating Market,70 - 150,80 - 160,110,120
Colombo,Panorama Executive Residencies Colombo,Tsukiji Uoichi,House of Fashions,"Dharma Vijaya Viharaya, Narahenpita",Colombo Racecourse Cricket Ground,Department of Mathematics,St. Lucia's Cathedral,50 - 100,80 - 160,75,120
Colombo,My Holiday Ticket Colombo,Indian Summer,Kandy Selection,"Siri Sarananda Viharaya, Colombo 6",Queen's House,Department of English,Paradise Road,70 - 150,80 - 160,110,120
Colombo,Clock Inn Dehiwala,Isso,No Limit,Kelaniya Temple,"St. Andrew's Church, Colombo",Department of Biochemistry,Waters Edge,100 - 200,80 - 160,150,120
Colombo,Sansu Hotel Colombo,Urban Kitchen (Hilton Colombo),Nolimit,"Rama Temple, Colombo 6",Seema Malaka Art Gallery,Department of Geology,Mount Lavinia Hotel,80 - 160,80 - 160,120,120
Colombo,City Square Residence,Sen Saal,Fashion Bug,"Temple Trees, Colombo 3",Arcade Independence Square Shopping Mall,Department of Business Economics,Bellanwila Temple Fair,70 - 150,80 - 160,110,120
Colombo,Thambili Island @ Stubbs,On The Eleventh (Hilton Colombo),Gandhara Crafts & Artifacts,"Isurumuniya Viharaya, Colombo 5",Gangaramaya Park,Department of Finance,Diyatha Uyana,80 - 160,80 - 160,120,120
Colombo,Panorama Executive Residencies Colombo,The Dining Room (Cinnamon Lakeside),Colombo City Center - Supermarket,Kotte Raja Maha Viharaya,Thewatte Basilica,Department of International Business,Independence Square,80 - 160,80 - 160,120,120
Colombo,Villa Anuja,Kumbuk Kitchen,Cotton Collection,"Devatagaha Mosque, Colombo 10",Dewatagaha Mosque,Department of Entrepreneurship,Jami Ul-Alfar Mosque,80 - 160,80 - 160,120,120
Colombo,Drift BnB Colombo,Tea Avenue,Romafour,"Jami Ul-Alfar Mosque, Colombo 11",Kelani Raja Maha Vihara,Department of Marketing Management,Galle Face Green,70 - 150,80 - 160,110,120
Colombo,City Square Residence,1864 Restaurant & Wine Cellar,Kandy Selection,"Dewatagaha Mosque, Colombo 7",Elphinstone Theatre,Department of Operations Management,Pettah Floating Market,80 - 160,80 - 160,120,120
Colombo,VJ City Hotel,The Clique,House of Fashions,"Khan Clock Tower Mosque, Colombo 12",Dutch Hospital Courtyard,Department of Human Resource Management,Old Parliament Building,100 - 200,80 - 160,150,120
Colombo,Ivy Lane Colombo,The Mango Tree,Cool Planet,"Red Mosque, Colombo 12",Asokaramaya Buddhist Temple,Department of Economics and Statistics,Dutch Period Museum,50 - 100,80 - 160,75,120
Colombo,Best Western Elyon Colombo,Heladiv Tea Club,No Limit,"Wolvendaal Church, Colombo 13",National Zoological Gardens,Department of Accounting,Navam Perahera Grounds,70 - 150,80 - 160,110,120
Colombo,Palm Beach Hotel,Café Noir,Fashion Bug,"St. Andrew's Scots Kirk, Colombo 7",Mount Lavinia Coastal Walk,Department of Business Law,Colombo Rowing Club,70 - 150,80 - 160,110,120
Colombo,Pearl City Hotel,Sunflower,Noritake,"St. Anthony's Shrine, Kochchikade",Old Dutch Hospital,Department of Taxation,Nawala Wetland Park,70 - 150,80 - 160,110,120
Colombo,The Deane Residence,Fat Crab,Lanka Silks,Gangaramaya Temple,Asokaramaya Buddhist Temple,Department of Information Systems,Nelum Pokuna Mahinda Rajapaksa Theatre,80 - 160,80 - 160,120,120
Colombo,Colombo Sea View Hostel,Sushi Kai,House of Fashion,Kelaniya Raja Maha Vihara,Wadduwa Church,Department of Management and Information Technology,Gangaramaya Temple,70 - 150,80 - 160,110,120
Colombo,Palm Nest,Hotel De Pilawoos,Gandhara,Seema Malaka,Dutch Canal Boat Ride,Department of Business Communication,Mount Lavinia Beach,80 - 160,80 - 160,120,120
Colombo,Thambili Island @ Stubbs,The Barnesbury,CIB Shopping Centre,Sri Ponnambalam Vanesar Kovil,ODEL Department Store,Department of Tourism and Hospitality Management,Ape Gama,100 - 200,80 - 160,150,120
Colombo,Sansu Hotel Colombo,BreadTalk,Dharmadasa Shopping Complex,Sri Kailawasanathan Swami Devasthanam Kovil,Weras Ganga Park,Department of Supply Chain Management,Bellanwila Temple Fair,120 - 250,80 - 160,185,120
Colombo,City Hotel Colombo,Vistas,Marino Mall,"St. Anthony's Shrine, Kochchikade",Beira Lake Sunset Cruise,Department of Corporate Governance,"St. Anthony's Church, Kochchikade",80 - 160,80 - 160,120,120
Colombo,City Square Residence,The Pub,Liberty Plaza,Wolvendaal Church,Mount Lavinia Hotel,Department of Public Administration,Colombo Rowing Club,100 - 200,80 - 160,150,120
Colombo,Mandarina Colombo,Pho Vietnam,K Zone Ja-Ela,Dewatagaha Mosque,Dehiwala Bazaar,Department of Development Planning,Old Parliament Building,80 - 160,80 - 160,120,120
Colombo,Unique Towers Luxury Boutique Suites,Cheese Lover's,ODEL,Red Mosque (Jami Ul-Alfar Mosque),Galle Face Green Sunset Stroll,Department of Regional Planning,Pettah Floating Market,70 - 150,80 - 160,110,120
Colombo,Olu Colombo Villa,Toby's Estate,Urban Island,Sri Nagavihara International Buddhist Centre,Lionel Wendt Memorial Art Centre,Department of Urban Planning,Diyatha Uyana,80 - 160,80 - 160,120,120
Colombo,Ivy Lane Colombo,Devi's,Cool Planet,St. Lucia's Cathedral,Beira Lake Boat Tour,Department of Physical Planning,Independence Square,80 - 160,80 - 160,120,120
Colombo,Colombo Villa at Cambridge Place,Spice Coast,Laksala,Sri Sivasubramaniya Swami Kovil,Kelaniya Temple Elephant Orphanage,Department of Social Planning,Paradise Road,80 - 160,80 - 160,120,120
Colombo,Clock Inn Dehiwala,Black Cat Café,Raux Brothers,Dewatagaha Viharaya,Raja Maha Viharaya Temple,Department of Gender Studies,Jami Ul-Alfar Mosque,50 - 100,80 - 160,75,120
Colombo,VJ City Hotel,Curry Leaf (Hilton Colombo),Selyn,Bellanwila Rajamaha Viharaya,Water's Edge Lake,Department of Human Rights,Waters Edge,60 - 120,80 - 160,90,120
Colombo,The Deane Residence,Raja Bojun,Samanmal Bookshop,Sri Bodhiraja Temple,Ruhunu Vihara,Department of Peace and Conflict Studies,Nawala Wetland Park,70 - 150,80 - 160,110,120
Colombo,Pearl City Hotel,China Doll,Rithihi,Sri Subadrarama Rajamaha Viharaya,Dehiwala Kali Kovil,Department of Cultural Studies,Nelum Pokuna Mahinda Rajapaksa Theatre,70 - 150,80 - 160,110,120
Colombo,City Square Residence,Taipan,Ceylon Tea Supermarket,Kollupitiya Jumma Masjid,Royal Colombo Golf Course,Department of Development Communication,Galle Face Green,80 - 160,80 - 160,120,120
Colombo,Sansu Hotel Colombo,Green Cabin,Ginger,"St. Michael's Church, Polwatte",Bellanwila Temple Grounds,Department of Media Studies,Dutch Period Museum,70 - 150,80 - 160,110,120
Colombo,Palm Beach Hotel,China Town,Fashion Fabrics,Sri Sambuddhaloka Viharaya,Diyasaru Park,Department of Visual Arts,Navam Perahera Grounds,80 - 160,80 - 160,120,120
Colombo,Best Western Elyon Colombo,Park Street Mews Restaurant,UpTown,Sri Kalyani Yogasrama Samsthava,"Anjaneyar Kovil, Dehiwala",Department of Performing Arts,Mount Lavinia Beach,80 - 160,80 - 160,120,120
Gampaha,Jetwing Lagoon,The Fat Crab,Gampaha Town Shopping Complex,Kelaniya Raja Maha Vihara,Negombo Dutch Fort,Gampaha Wickramarachchi Ayurveda Institute,Leisure World Water Park,200 - 300,20 - 40,250,30
Gampaha,The Tamarind Tree Hotel,Negombo Kitchen,Arpico Supercentre - Gampaha,Sri Nagavihara International Buddhist Centre,Muthurajawela Marsh,University of Kelaniya,Gampaha Botanical Garden,150 - 250,15 - 30,200,22.5
Gampaha,Suriya Resort,Lords Restaurant Complex,Cargills Food City - Gampaha,Siyane Korale Maha Seya,"St. Mary's Church, Negombo",Wayamba University of Sri Lanka - Makandura,Kelaniya Raja Maha Vihara,150 - 250,20 - 40,200,30
Gampaha,Thilanka Resort & Spa,Ranbath Restaurant,Cool Planet Gampaha,Sri Kalyani Yogasrama Samsthava,Angurukaramulla Temple,Open University of Sri Lanka - Gampaha Study Centre,Attanagalla Vihara,100 - 150,25 - 10,125,17.5
Gampaha,Blue Lanka Tours & Beach Holidays,Seafood Cove,Laugfs Supermarket - Gampaha,Bellanwila Rajamaha Viharaya,Negombo Fish Market,Horizon College International,Gampaha Clock Tower,100 - 150,30 - 50,125,40
Gampaha,Villa Tropicana,Dolce Vita Restaurant,Keells Super - Gampaha,Kelani Tissa Temple,Negombo Beach Park,Horizon Campus - Malabe,Negombo Beach,90 - 130,25 - 45,110,35
Gampaha,Blue Note House,Little Hut,Sathosa - Gampaha,Weliweriya Raja Maha Vihara,"Ave Maria Convent, Negombo",University of Sri Jayewardenepura - Kimbulawala,Muthurajawela Marsh,50 - 80,25 - 10,65,17.5
Gampaha,The Cottage,Big Fish Restaurant,Fashion Bug - Gampaha,Siyane Korale Purana Vihara,Hamilton Canal,Lyceum International School - Wattala,Gampaha Bowling Centre,40 - 70,30 - 50,55,40
Gampaha,Moya Gale,Dining by the Pool,ODEL - Gampaha,Bellanwila Rajamaha Viharaya - Malabe Branch,Negombo Lagoon,Gateway College - Negombo,Yagirala Forest Reserve,50 - 80,25 - 40,65,32.5
Gampaha,Villa Sunbird,Curry Leaf Restaurant,Glitz - Gampaha,Kosgama Sri Nagavihara International Buddhist Centre,"Dutch Clock Tower, Negombo",OKI International School,Gampaha Municipal Park,100 - 150,20 - 35,125,27.5
Gampaha,Heritance Negombo,Yaal,Singer Mega - Gampaha,Siyane Korale Gangarama Viharaya,"St. Sebastian's Church, Negombo",Gampaha Wickramarachchi University of Indigenous Medicine,Kanduboda Meditation Centre,180 - 250,15 - 30,215,22.5
Gampaha,Jetwing Sea,The Lagoon,Softlogic - Gampaha,Siyane Korale Sudharshanarama Temple,Negombo Beach,Lyceum International School - Gampaha,Gampaha District Secretariat Playground,180 - 250,30 - 50,215,40
Gampaha,Camelot Beach Hotel,Sizzle Restaurant,House of Fashion - Gampaha,Siyane Korale Pothgul Rajamaha Viharaya,Bolawalana Raja Maha Vihara,University College of Gampaha,Elephant House Polo Club,170 - 220,25 - 45,195,35
Gampaha,The Beach All Suite Hotel,Lavinia Breeze,Cool Kidz - Gampaha,Siyane Korale Kanaththa Pura Viharaya,Angurukaramulla Temple Museum,Aquinas College of Higher Studies,Lellama Fun Park,200 - 300,20 - 35,250,27.5
Gampaha,Pledge 3,Tuskers Restaurant,Fashion Fab - Gampaha,Thanthirimale Rajamaha Viharaya,Dunuwila Raja Maha Vihara,"St. Joseph's College, Colombo 10 (Gampaha Branch)",Gampaha Badminton Club,60 - 90,30 - 50,75,40
Gampaha,Rani Beach Resort,The Ritz Restaurant,No Limit - Gampaha,Pothuvil Somarama Viharaya,Batagama Rajamaha Viharaya,Horizon College International - Kaduwela,Aruna Cinema Hall,110 - 160,40 - 60,135,50
Gampaha,Villa Shade,La Langousterie,Romafour - Gampaha,Nawagamuwa Temple,"Aruna Raja Maha Viharaya, Wennappuwa",Lyceum International School - Ratmalana,Hansagiri Viharaya,60 - 90,35 - 55,75,45
Gampaha,Sea Shine Beach Hotel,The Dining Room,Super Fashion - Gampaha,Siyane Korale Damminda Viharaya,Kirindiwela Sri Nagaviharaya,OKI International School - Wattala,Guruge Nature Park,150 - 200,40 - 60,175,50
Gampaha,Villa Araliya,The Prawn Farm,Nolimit Kids - Gampaha,Agrabodhi Viharaya,Uruwela Raja Maha Viharaya,St. Peter's College - Gampaha,Ja-Ela Urban Wetland Park,100 - 150,35 - 55,125,45
Gampaha,The Gateway Hotel Airport Garden Colombo,Lagoon View Seafood Restaurant,Fashion Hub - Gampaha,Siyane Korale Ammaduwa Viharaya,Divulapitiya Bodhirajarama Temple,St. Thomas' College - Kotte (Gampaha Branch),Katana Beach,150 - 250,30 - 50,200,40
Gampaha,Suriya Arana,The Fat Crab,Diliganz - Gampaha,Siyane Korale Manelwatta Viharaya,Ambepussa Sri Sugatha Bodhiraja Temple,St. Mary's College - Negombo,Gampaha Public Library,100 - 150,20 - 40,125,30
Gampaha,Terrace Green Hotel,Negombo Kitchen,Fashion City - Gampaha,Tholangamuwa Viharaya,Veyangoda Raja Maha Viharaya,Holy Cross College - Gampaha,Ragama Medical Faculty Playground,120 - 170,15 - 30,145,22.5
Gampaha,Riverdale Hotel,Lords Restaurant Complex,Takas.lk Outlet - Gampaha,Henepola Raja Maha Vihara,Yatiyantota Raja Maha Viharaya,Sujatha Vidyalaya - Nugegoda (Gampaha Branch),Seeduwa Raja Maha Vihara,80 - 120,20 - 40,100,30
Gampaha,Rani Beach Resort,Ranbath Restaurant,Hameedia - Gampaha,Siyane Korale Wadurawa Viharaya,Udumulla Raja Maha Viharaya,St. Anthony's College - Wattala,Gampaha Cricket Ground,140 - 200,25 - 10,170,17.5
Gampaha,Amagi Aria,Seafood Cove,Cool Planet Kids - Gampaha,Siyane Korale Rambukkana Viharaya,Dambadeniya Rajamaha Viharaya,Institute of Indigenous Medicine - University of Colombo,Kadawatha Urban Wetland Park,130 - 180,30 - 50,155,40
Gampaha,St. Lachlan Hotel & Suites,Dolce Vita Restaurant,Ranjana's Textile - Gampaha,Kamburugamuwa Temple,Kalugampitiya Sri Wijayasundararama Temple,Nalanda College - Minuwangoda (Gampaha Branch),Siyane Korale Temple,100 - 150,25 - 45,125,35
Gampaha,Camelot Beach Hotel,Little Hut,Kandy Selection - Gampaha,Siyane Korale Thunmodara Viharaya,Nelligaha Raja Maha Viharaya,St. Sebastian's College - Kandana,Attanagalle Central College Grounds,180 - 250,25 - 10,215,17.5
